Collection,Number,Species,Ecomorph,Ground,Region,SVL,TL,HL,SL,HW,Humerus,Radius,Hand,Femur,Tibia,Foot,Finger.III.W,Toe.III.W
USNM,531982,bicaorum,Mainland,Mainland,Mainland,61.41,126.74,16.1,7.83,9.76,10.04,10.21,10.69,17.9,19.19,22.5,1.04,1.23
USNM,565426,bicaorum,Mainland,Mainland,Mainland,72.63,,18.07,9.03,11.11,11.39,10.91,12.96,17.02,20.34,25.5,1.2,1.65
MCZ,22295,biporcatus,Mainland,Mainland,Mainland,85.82,188.59,22.9,11.04,14.71,11.52,12.06,13.94,18.63,19.6,26.33,1.51,1.84
MCZ,186145,biporcatus,Mainland,Mainland,Mainland,92.17,,23.35,10.99,14.49,12.42,12.25,14.38,18.91,19.53,27.84,1.74,2.01
MCZ,96802,bombiceps,Mainland,Ground,Mainland,60.76,113.11,13.59,5.75,8.55,10.55,11.01,11.73,18.55,19.22,23.65,0.88,1.11
USNM,46986,boulengerianus,Mainland,Mainland,Mainland,56.15,94.74,13.62,6.74,8.6,7.88,9.12,9.16,13.97,14.74,18.78,0.85,1.27
MCZ,98286,brasiliensis,Mainland,Ground,Mainland,58.32,136.55,14.34,5.98,9.54,9.42,9.87,10.87,14.96,17.51,22.8,1.05,1.13
MCZ,98287,brasiliensis,Mainland,Ground,Mainland,60.25,150.45,15.18,6.48,10.1,10.45,10.05,10.89,15.31,17.27,24.3,1.05,1.15
MVZ,241234,bremeri,Trunk Ground,Trunk Ground,Caribbean,56.22,113.74,13.9,6.19,8.55,7.51,8.16,9.73,12.75,13.54,19.24,1.19,1.59
CAS,111466,brevirostris,Trunk,Trunk,Caribbean,43.5,70.4,11.5,5.6,7.8,6.9,8.3,8.3,10.4,11.9,14.2,0.9,1.1
USNM,260256,brevirostris,Trunk,Trunk,Caribbean,45.7,,13,5.9,8.1,7.7,8.5,8.3,10.8,13,14.8,1.1,1.3
CAS,111480,brevirostris,Trunk,Trunk,Caribbean,49.1,76.1,12.9,6,8.2,7.6,8.6,7.7,11.1,12.5,15.4,1,1.3
USNM,260254,brevirostris,Trunk,Trunk,Caribbean,49.3,,12.9,5.8,8.7,8.4,9.2,9.4,10.6,13.3,15.1,1.1,1.2
MVZ,263983,campbelli,Mainland,Mainland,Mainland,38.61,77.1,10.76,4.63,6.27,5.87,5.67,7.49,11.03,11.69,14.91,0.76,0.86
USNM,219553,capito,Mainland,Mainland,Mainland,83.1,153.5,20.8,9.1,14,12.7,14,16,24.3,27.2,33.6,1.4,1.5
USNM,77082,caudalis,Trunk,Trunk,Caribbean,44.1,,12.1,5.5,7.9,7,7.1,7.6,9,11.5,12.7,0.8,1
USNM,77080,caudalis,Trunk,Trunk,Caribbean,45.4,80.2,12.6,5.6,8.3,7.5,8.4,8,10.6,12.6,14.2,0.9,1.1
USNM,51891,chamaeleonides,Unknown,Unknown,Caribbean,163.84,172.6,54.63,28.24,30.31,21.57,24.32,26.18,25.76,29.09,39.2,3.87,4.17
USNM,219557,charlesmyersi,Mainland,Mainland,Mainland,60.9,75.8,15.8,7.6,9.4,7,7.8,8.7,9.2,12.2,15.5,1.3,1.4
USNM,260269,chlorocyanus,Trunk Crown,Trunk Crown,Caribbean,66,,18.6,8.9,10.7,9.5,8.9,9.3,11.5,14,19.7,1.6,1.9
