"","CG","G","GB","TC","TG","Tr","Tw","U"
"92",1e-04,0.2406,0.005,0.0027,0.1401,4e-04,4e-04,0.6107
"93",0.00173076923076923,0.149807692307692,0.0125,0.00557692307692308,0.286538461538462,0,0.0180769230769231,0.525769230769231
"94",0.01575,0.06,0.00775,0.006875,0.411875,0.000125,0.001,0.496625
"95",0.000746268656716418,0.017910447761194,0.00238805970149254,0.00134328358208955,0.915671641791045,0,0.000149253731343284,0.0617910447761194
"96",0,0.66,0,0,0.085,0,0,0.255
"97",0,0.34641975308642,0.00123456790123457,0.00518518518518519,0.0718518518518518,0,0.000246913580246914,0.575061728395062
"98",0,0.682142857142857,0.00142857142857143,0.0192857142857143,0.0471428571428571,0,0,0.25
"99",0,0.546962025316456,0.000632911392405063,0.0020253164556962,0.0343037974683544,0,0,0.416075949367089
"100",0,0.850185185185185,0.000185185185185185,0.000185185185185185,0.017962962962963,0,0,0.131481481481481
"101",0,0.990515463917526,0,0,0.00154639175257732,0,0,0.00793814432989691
"102",0,0.991958762886598,0,0,0.0011340206185567,0,0,0.00690721649484536
"103",0,0.997938144329897,0,0,0.000412371134020619,0,0,0.00164948453608247
"104",0,0.998265306122449,0,0,0.000204081632653061,0,0,0.00153061224489796
"105",0,0.354893617021277,0,0.000212765957446809,0.0908510638297872,0,0,0.554042553191489
"106",0.00290322580645161,0.217741935483871,0.0106451612903226,0.0187096774193548,0.16741935483871,0,0.000967741935483871,0.581612903225806
"107",0.00166666666666667,0.224333333333333,0.0765,0.00816666666666667,0.113166666666667,0.000166666666666667,0.0025,0.5735
"108",0,0.0175,0,0,0.24,0,0,0.7425
"109",0,0.666666666666667,0,0,0.00666666666666667,0,0,0.326666666666667
"110",0,0.341756756756757,0,0.00405405405405405,0.0487837837837838,0,0.000810810810810811,0.604594594594595
"111",0.000102040816326531,0.000204081632653061,0.000102040816326531,0.000408163265306122,0.000918367346938775,0.000102040816326531,0.993775510204082,0.00438775510204082
"112",0,0,0,0,0,0,0.999661016949153,0.000338983050847458
"113",0,0,0.00615384615384615,0,0.00141025641025641,0,0.992307692307692,0.000128205128205128
