"","CG","GB","TC","TG","Tr","Tw","U"
"92",1e-04,0.0107,3e-04,0.0338,1e-04,0,0.955
"93",0.00134615384615385,0.000961538461538462,0.005,0.0596153846153846,0,0.0146153846153846,0.918461538461538
"94",0.007125,0.0025,0.005375,0.25275,0,0.0015,0.73075
"95",0.000298507462686567,0.000746268656716418,0,0.793134328358209,0,0,0.205820895522388
"96",0,0,0,0.015,0,0,0.985
"97",0,0.00777777777777778,0.000123456790123457,0.0158024691358025,0,0,0.976296296296296
"98",0,0.0164285714285714,0,0.0164285714285714,0,0,0.967142857142857
"99",0,0.0111392405063291,0,0.0230379746835443,0,0,0.965822784810127
"100",0,0.00518518518518519,0,0.0185185185185185,0,0,0.976296296296296
"101",0,0.000412371134020619,0.000103092783505155,0.0152577319587629,0,0.000103092783505155,0.984123711340206
"102",0,0.00103092783505155,0,0.00958762886597938,0,0,0.989381443298969
"103",0,0.000824742268041237,0.000103092783505155,0.00711340206185567,0,0.000103092783505155,0.991855670103093
"104",0,0.000612244897959184,0,0.0073469387755102,0,0,0.992040816326531
"105",0,0,0,0.0287234042553191,0,0,0.971276595744681
"106",0.00516129032258065,0.0170967741935484,0.00612903225806452,0.0361290322580645,0,0.000645161290322581,0.934838709677419
"107",0.001,0.129833333333333,0.00333333333333333,0.054,0,0.00166666666666667,0.810166666666667
"108",0,0,0,0.025,0,0,0.975
"109",0,0,0,0.0266666666666667,0,0,0.973333333333333
"110",0,0.000135135135135135,0,0.0641891891891892,0,0.000540540540540541,0.935135135135135
"111",0,0.000102040816326531,0.00397959183673469,0.000204081632653061,0,0.932040816326531,0.0636734693877551
"112",0,0.000169491525423729,0.00101694915254237,0,0,0.985084745762712,0.013728813559322
"113",0,0.000128205128205128,0.00628205128205128,0.00115384615384615,0.000128205128205128,0.921282051282051,0.071025641025641
"114",0,0.000104166666666667,0,0.318125,0,0,0.681770833333333
"115",0,0.000306122448979592,0,0.42,0,0,0.57969387755102
"116",0,0.000606060606060606,0,0.781111111111111,0,0,0.218282828282828
"117",0.000102040816326531,0.000918367346938775,0.000306122448979592,0.321836734693878,0,0.000204081632653061,0.676632653061224
"118",0,0,0.000120481927710843,0.407228915662651,0,0,0.592650602409639
"119",0,0,0,0.553411764705882,0,0,0.446588235294118
"120",0,0.000520833333333333,0.000104166666666667,0.585208333333333,0,0,0.414166666666667
"121",0,0.000128205128205128,0,0.649230769230769,0,0,0.350641025641026
"122",0,0.000204081632653061,0,0.81765306122449,0,0,0.182142857142857
"123",0,0,0,0.993535353535353,0,0,0.00646464646464646
"124",0.000101010101010101,0.00161616161616162,0,0.633737373737374,0,0.000101010101010101,0.364444444444444
"125",0,0,0,0.109565217391304,0,0,0.890434782608696
"126",0,0.000128205128205128,0,0.13,0,0,0.869871794871795
"127",0.000104166666666667,0.00677083333333333,0.000104166666666667,0.238333333333333,0.000104166666666667,0.000208333333333333,0.754375
"128",0.000238095238095238,0.000833333333333333,0.000238095238095238,0.141309523809524,0,0.000119047619047619,0.857261904761905
"129",0.0125252525252525,0.00181818181818182,0.00555555555555556,0.247979797979798,0,0.000303030303030303,0.731818181818182
"130",0.000212765957446809,0.00148936170212766,0.000106382978723404,0.0637234042553192,0,0.000212765957446809,0.934255319148936
"131",0,0,0,0.307818181818182,0,0.000363636363636364,0.691818181818182
"132",0,0.000515463917525773,0,0.698247422680412,0,0.000103092783505155,0.301134020618557
"133",0,0,0,0.318269230769231,0,0,0.681730769230769
"134",0,0.000967741935483871,0,0.292903225806452,0,0,0.706129032258065
"135",0,0,0,0.366323529411765,0,0,0.633676470588235
"136",0,0,0,0.383529411764706,0,0,0.616470588235294
"137",0,0.00125,0,0.25375,0,0,0.745
"138",0,0,0,0.103225806451613,0,0,0.896774193548387
"139",0,0.00680412371134021,0.000721649484536082,0.41020618556701,0,0.000206185567010309,0.582061855670103
"140",0,0,0,0.116666666666667,0,0,0.883333333333333
"141",0.000256410256410256,0.00128205128205128,0.00102564102564103,0.0730769230769231,0.000512820512820513,0.000256410256410256,0.923589743589744
"142",0.000181818181818182,0.00436363636363636,0,0.0250909090909091,0,0,0.970363636363636
"143",0,0.02,0.00166666666666667,0.005,0,0,0.973333333333333
"144",0.00024390243902439,0.159756097560976,0.00146341463414634,0.00609756097560976,0,0,0.832439024390244
"145",0,0.0195652173913043,0.000434782608695652,0.00434782608695652,0,0,0.975652173913043
"146",0,0.000229885057471264,0,0.00229885057471264,0,0.000114942528735632,0.99735632183908
"147",0,0.218478260869565,0.00956521739130435,0.00239130434782609,0,0.000217391304347826,0.769347826086957
"148",0.000204081632653061,0.601632653061224,0.18765306122449,0.000306122448979592,0,0.000714285714285714,0.209489795918367
"149",0,0,0,0.285897435897436,0,0,0.714102564102564
"150",0,5e-04,0,0.42475,0,0,0.57475
"151",0,0,0,0.3975,0,0,0.6025
"152",0,0,0,0.3940625,0,0,0.6059375
"153",0,0,0,0.313823529411765,0,0,0.686176470588235
"154",0,0.00125,0,0.06125,0,0,0.9375
"155",0,0.000112359550561798,0,0.00640449438202247,0,0,0.993483146067416
"156",0,0.000319148936170213,0.000106382978723404,0.406914893617021,0,0,0.592659574468085
"157",0,0.000576923076923077,0,0.460576923076923,0,0,0.538846153846154
"158",0,0,0,0.929120879120879,0,0,0.0708791208791209
"159",0,0,0,0.97,0,0,0.03
"160",0,0.00454545454545455,0.000404040404040404,0.303939393939394,0,0,0.691111111111111
"161",0.000303030303030303,0.0155555555555556,0.00494949494949495,0.121010101010101,0,0.000101010101010101,0.858080808080808
"162",0,0.0241836734693878,0.00183673469387755,0.0971428571428571,0,0,0.876836734693878
"163",0,0.305,0.00795918367346939,0.183673469387755,0,0,0.503367346938775
"164",0,0,0,0.623150684931507,0,0,0.376849315068493
"165",0,0,0,0.605757575757576,0,0,0.394242424242424
"166",0.000101010101010101,0.00121212121212121,0,0.259090909090909,0,0.000101010101010101,0.73949494949495
"167",0,0,0,0.957373737373737,0,0,0.0426262626262626
"168",0,0.000101010101010101,0,0.985151515151515,0,0,0.0147474747474747
"169",0,0,0,0.984545454545455,0,0,0.0154545454545455
"170",0,0.000138888888888889,0,0.666527777777778,0,0,0.333333333333333
"171",0,0.00189473684210526,0,0.797578947368421,0,0,0.200526315789474
"172",0,0.00151515151515152,0,0.975454545454545,0,0,0.023030303030303
"173",0,0.000131578947368421,0,0.99328947368421,0,0,0.00657894736842105
"174",0,0,0,0.513013698630137,0,0,0.486986301369863
"175",0,0,0,0.382307692307692,0,0,0.617692307692308
"176",0,0,0,0.399583333333333,0,0,0.600416666666667
"177",0,0.000612244897959184,0,0.188571428571429,0,0,0.810816326530612
"178",0,0,0,0.4115,0,0,0.5885
"179",0,0.000606060606060606,0,0.155454545454545,0,0,0.843939393939394
"180",0,0,0,0.51,0,0,0.49
